Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3380000,1.290121,4.0615215,999,38.19109496,38.19109496,1
,,,,,,
3390000,1.2901549,4.0518823,999,42.75064257,42.75064257,1
,,,,,,
3400000,1.2901613,4.051148,999,45.69451832,45.69451832,1
,,,,,,
3410000,1.290148,4.0577836,999,39.45207055,39.45207055,1
,,,,,,
3420000,1.2901407,3.9737709,999,43.57141917,43.57141917,1
,,,,,,
3430000,1.2899804,3.9618917,999,37.24466829,37.24466829,1
,,,,,,
3440000,1.2899742,3.8514698,999,36.89022082,36.89022082,1
,,,,,,
3450000,1.2898245,4.0035086,999,35.5218894,35.5218894,1
,,,,,,
3460000,1.2897073,4.0615463,999,38.97688176,38.97688176,1
,,,,,,
3470000,1.2895796,4.1220913,999,50.5209871,50.5209871,1
,,,,,,
3480000,1.2894403,4.0581408,999,40.99375363,40.99375363,1
,,,,,,
3490000,1.2894278,4.111739,999,45.33554941,45.33554941,1
,,,,,,
3500000,1.2894065,4.072866,999,39.67236999,39.67236999,1
,,,,,,
3510000,1.2892992,4.0741663,999,45.85740674,45.85740674,1
,,,,,,
3520000,1.2890128,4.063973,999,40.08279459,40.08279459,1
,,,,,,
3530000,1.288923,4.072069,999,37.66016895,37.66016895,1
,,,,,,
3540000,1.2884991,3.9814079,999,38.70410717,38.70410717,1
,,,,,,
3550000,1.2884669,3.994819,999,33.96933877,33.96933877,1
,,,,,,
3560000,1.2880847,4.0203433,999,43.85900915,43.85900915,1
,,,,,,
3570000,1.2880847,4.05739,999,40.2430476,40.2430476,1
,,,,,,
3580000,1.2877269,4.1257453,999,45.49833968,45.49833968,1
,,,,,,
3590000,1.2877158,4.1371427,999,45.27885669,45.27885669,1
,,,,,,
